S_text,T_text,labels
The system shall include capabilities for ordering laboratory tests and reviewing results.,The HIE SHALL have the ability to perform the roles of Sender and Receiver of clinical laboratory results using HL7 CDA r2 as specified in the HITSP Component 37 Lab Report Document Structure with the contents and terminology specified in HITSP Component 36 Lab Message and Component 35 EHR Lab Terminology.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to receive and store microbiology laboratory results with organisms recorded as free-text,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to receive and store microbiology laboratory results with organisms coded w/SNOMED-CT,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to receive and store microbiology laboratory results with sensitivity testing coded using LOINC,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to include test and procedure results as part of the referral report.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide guidance during ordering for medications that require consideration of laboratory test results for dosing.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide the ability to display relevant, patient-specific laboratory test results when entering an order.",1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to relay orders for a diagnostic test to the correct destination for completion.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to respond to a query to share laboratory results,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to display non-numeric current and historical test results as textual data.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to view test results during medication administration.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to view test results during the ordering process.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to display user created instructions and/or prompts when ordering diagnostic tests or procedures.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall have the ability to provide access to patient-specific test and procedure instructions that can be customized by the physician or health organization these instructions are to be given to the filler of the order.  These instructions may reside within the system or be provided through links to external sources.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide the ability to capture and maintain, as discrete data, the reason for variation from rule-based clinical messages (for example alerts and reminders).",0
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide access to patient instructions and patient educational materials, which may reside within the system or be provided through links to external sources.",0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to view patient response to medication administration of previous doses at time of re-ordering.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall be able to support the standards identified and recommended by the Health Information Technology Standards Panel (HITSP) on its HITSP-TP13 Ver 1.0.1 document,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide the ability to launch DICOM image viewer, may be web-based.",0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to accept information on patient home medications from an external source.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall have the ability to provide access to patient-specific test and procedure instructions that can be customized by the physician or health organization these instructions are to be given to the filler of the order.  These instructions may reside within the system or be provided through links to external sources.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to specify the current and previous Responsible Physicians.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide the ability to capture and store information concerning clinician notifications following screening of medication orders and the response (place, modify or cancel order) indefinitely.",0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall be able to produce an adverse-event report ( VAERS (Vaccine Adverse Event Reporting System)  linked to the problem immunization episode.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The HIE shall have in place anti virus protections consistent with the HIEs technical environment,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide the ability to capture, maintain and display, as discrete data, lists of medications and other agents to which the patient has had an allergic or other adverse reaction.",0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to individualize alerts to address a patient's specific clinical situation.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to check all current medication orders for drug allergy when a new allergy is documented.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,An HIE shall be able to correctly identify an entity that it provides services to.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to enter all order details for medication orders that include dosing adjustments and limits.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to send patient specific Public Health Disease Report for a reportable disease,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to create paper copies of order- and medication-administration-related medical record elements.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to display potential side effects of medications on the medication list.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to generate summary reports based upon data contained within the system.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The HIE SHALL have the ability to send and receive the HL7/ASTM CCD healthcare summary document, as updated by HITSP in 2007.",0
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system, prior to a user login, shall display a (configurable) notice warning (e.g. The system should only be accessed by authorized users).",0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability for the ordering provider to include free text comments or instructions in the order to be viewed by providers departments/services fulfilling the order or service.,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide disease management, care plans, guidelines and protocols as indicated by the  vital signs.",0
The system shall use HL-7 communications protocol for transferring messages among packages,"If role-based access control (RBAC) is supported, the system shall be able to provide role based access control that is in compliance with the HL7 Permissions Catalog.",1
The system shall use HL-7 communications protocol for transferring messages among packages,"The HIE SHALL have the ability to send and receive the HL7/ASTM CCD healthcare summary document, as updated by HITSP in 2007.",1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE shall require that sending systems provide evidence of the origin of the information.  This evidence must be verifiable by the HIE.  For Lab HL7 2.5.1 transactions this criteria will be considered to be met establishing secure peer to peer communications.,1
The system shall use HL-7 communications protocol for transferring messages among packages,"The HIE SHALL have the ability to Access and view a medication history from a PHR using HITSP IS-03 CE-PHR Interoperability Specification HL7-ASTM CCD, IHE XDS/XCA",1
The system shall use HL-7 communications protocol for transferring messages among packages,"The system shall have the ability to transmit clinical information to other information systems using standards that retain the available level of coding and structure, such as the HL7 Clinical Data Architecture.",1
The system shall use HL-7 communications protocol for transferring messages among packages,"The system shall include documentation that itemizes the services (e.g. PHP, web services) and network protocols/ports (e.g. HL-7,  HTTP, FTP)  that are necessary for proper operation and servicing of the system, including justification of the need for that service and protocol. This information may be used by the healthcare facility to properly configure their network defenses (firewalls and routers).",1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE shall perform bi-directional translation between NCPDP eprescribing messages and HL7 ePrescribing messages as allowed in Medicare Part D for delivery systems to communicate with retail pharmacies.,1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE SHALL have the ability to perform the roles of Sender and Receiver of clinical laboratory results using HL7 CDA r2 as specified in the HITSP Component 37 Lab Report Document Structure with the contents and terminology specified in HITSP Component 36 Lab Message and Component 35 EHR Lab Terminology.,1
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide the ability to generate a CDA document that is consistent with the HL7 2.5.1 message for Lab documents,1
The system shall use HL-7 communications protocol for transferring messages among packages,"The HIE SHALL have the ability to perform the roles of Document Consumer, Document Source, Document Repository, Document Registry  and Patient Identity Source as documented in HITSP Transaction Package 13 Manage Sharing of Documents,  as updated in 2007 IHE XDS-b and IHE XCA, and using HITSP Component 32 Registration Summary and Medication History for the specification of the HL7/ASTM Continuity of Care Document (CCD) healthcare summary document, as updated by HITSP in 2007.",1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE SHALL have the ability to perform the roles of Sender and Receiver of clinical laboratory results using  HL7 v.2.5.1 as specified in the HITSP Component 36 Lab Message and Component 35 EHR Lab Terminology.,1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE shall provide to senders of data to the HIE evidence of a receipt of information  (as specified in HITSP C26).   For Lab HL7 2.5.1 transactions this criteria will be considered to be met establishing secure peer to peer communications.,1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE SHALL have the ability to perform the roles of Sender and Receiver of HL7 CDAr2 encounter documents as documented in the HITSP Component 48 Encounter Document.,1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE SHALL have the ability to perform the roles of Sender and Receiver of HL7 v2 encounter messages as documented in the HITSP Component 39 Encounter Message.,1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE SHALL have the ability to perform the roles of Sender and Receiver of HL7 v2 radiology messages as documented in the HITSP Component 41 Radiology Message.,1
The system shall use HL-7 communications protocol for transferring messages among packages,The HIE SHALL have the ability to perform the roles of Sender and Receiver of HL7 v2 resource utilization messages as documented in the HITSP Component 47 Resource Utilization Message.,1
The system shall use HL-7 communications protocol for transferring messages among packages,"The system shall provide the ability to notify the relevant providers (ordering, copy to) that new results have been received.",0
The system shall use HL-7 communications protocol for transferring messages among packages,"The system shall provide the ability to renew, modify, and discontinue orders.",0
The system shall use HL-7 communications protocol for transferring messages among packages,"The system shall provide the ability to capture and maintain, as discrete data elements, the specific problem / diagnosis, user, date and time of all updates to the problem list.",0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide the ability to filter or sort results by type of test and test date.,0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide drug-disease interaction alerts at the time of entering a problem.,0
The system shall use HL-7 communications protocol for transferring messages among packages,"Provide assurance that security policies are being followed or enforced and that risks are being mitigated. Define and identify security relevant events and the data to be collected and communicated as determined by policy, regulation, or risk analysis. It also provides the mechanism to determine the record format to support analytical reports that are needed.",0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide the ability to Integrate with bar-code technology to capture information from linear bar code labels and wristbands,0
The system shall use HL-7 communications protocol for transferring messages among packages,"The system shall provide the ability to identify criteria for disease management, preventive and wellness services based on patient demographic data (age, gender).",0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide the ability to update clinical decision support guidelines and associated reference material.,0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide the ability to chronologically display consents and authorizations.,0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide the ability to incorporate paper documents from external providers into the patient record.,0
The system shall use HL-7 communications protocol for transferring messages among packages,"The system shall provide the ability to assign clinicians to appropriate teams, where teams are defined as groups of clinicians who share responsibility for covering the same group of patients.",0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide the ability to receive units using a defined vocabulary for lab results,0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall have the ability to select individual groups of orders for printing,0
The system shall use HL-7 communications protocol for transferring messages among packages,The system shall provide the ability to enter uncoded or free text medications when medications are not on the vendor-provided medication database or information is insufficient to completely identify the medication.,0
The system shall use HL-7 communications protocol for transferring messages among packages,"The system shall provide the ability to capture and label the source, date and time of clinical data provided on behalf of the patient.",0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,"The system shall provide the ability to create hardcopy and electronic report summary information (procedures, medications, labs, immunizations, allergies, and vital signs).",1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to include vital sign measurements collected outside a patient encounter in trend worksheets,1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to include test and procedure results as part of the referral report.,1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,"The system shall display, upon request, lab results received through an electronic interface.",1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,"The system shall provide the ability to display numerical results in flow sheets and graphical form in order to compare results, and shall provide the ability to display values graphed over time.",1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to view test results during the ordering process.,1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to document and display vital sign measurements collected outside of the current patient encounter.,1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to provide access and view capabilities for relevant lab results for medication ordering or administration,1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to view test results during medication administration.,1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall track all vital signs over time including those outside the norm.,1
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to send an electronic prescription to pharmacy,0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,"The system's audit log should remain operational whenever the system is operational for any user functions when in operation except for unavoidable technical circumstances (e.g. software problems, technical failure, full storage capacity, etc.) Deletions or alteration of the contents of the audit log will not be allowed by users.  System must support a user-friendly output version of the audit log for transmission, printing, or export, which shows all details of events.",0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to flag a patient record as confidential and restrict the display of patient identifying information online and on printed output.,0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall have the ability to provide a list of financial and administrative codes.,0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability to display diagnostic results filter results for a unique patient's current Emergency department visit.,0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability for concurrent users to view the same clinical documentation or template.,0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide the ability for multiple users to interact concurrently with the EHR application.,0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,The system shall provide ability for a second provider to witness and co-document administration.,0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,"The system shall provide the ability to specify, modify and access a patient-specific care plan, e.g. an Asthma Action Plan, including the ability to specify medications and patient instructions.",0
The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.,"The system shall provide the ability to document medication administration using a barcode and scanner for positive patient identification, patient name, med name, med dose, correct time of admin, route and positive identification of care giver administering medication.",0
The system shall support audit capability.,"The system shall include documentation available to the customer that provides guidelines for configuration and use of the EHR security controls necessary to support secure and reliable operation of the system, including but not limited to: creation, modification, and deactivation of user accounts, management of roles, reset of passwords, configuration of password constraints, and audit logs.",1
The system shall support audit capability.,The system shall provide the identity of the user who prints a problem / diagnosis list in an audit report  and this should be retained in the audit trail.,1
The system shall support audit capability.,The system shall support logging to a common audit engine using the schema and transports specified in the Audit Log specification of IHE Audit Trails and Node Authentication (ATNA) Profile.,1
The system shall support audit capability.,"The system shall require documentation of the audit support functionality in the vendor provided user guides and other support documentation, including how to identify and retrospectively reconstruct all data elements in the audit log including date, time.",1
The system shall support audit capability.,"The system shall support the use of the National Provider Identifier or NPI in the EHR audit log to identify the individual provider or, in situations when an NPI is not available for an individual, a single unique internal provider identifier is assigned.",1
The system shall support audit capability.,"The system shall support the reconstruction of user steps taken in the documentation of an encounter.  Audit functions shall include capture of multiple authors, successive authors altering prior authored information, interrupted documentation of incomplete notes and additions to or alterations of completed notes.",1
The system shall support audit capability.,The system should provide a way to export allergies that have been entered on the wrong patient into the correct patient record. An audit trail must be created in both the incorrect and correct patient records.,1
The system shall support audit capability.,The system should provide a way to export medications that have been entered on the wrong patient into the correct patient record. An audit trail must be created in both the incorrect and correct patient records.,1
The system shall support audit capability.,The system should provide a way to export problems that have been entered on the wrong patient into the correct patient record. An audit trail must be created in both the incorrect and correct patient records.,1
The system shall support audit capability.,"The system shall prohibit all users read access to the audit records, except those users that have been granted explicit read-access.  The system shall protect the stored audit records from unauthorized deletion. The system shall prevent modifications to the audit records.",1
The system shall support audit capability.,"The system's audit log should remain operational whenever the system is operational for any user functions when in operation except for unavoidable technical circumstances (e.g. software problems, technical failure, full storage capacity, etc.) Deletions or alteration of the contents of the audit log will not be allowed by users.  System must support a user-friendly output version of the audit log for transmission, printing, or export, which shows all details of events.",1
The system shall support audit capability.,The system shall allow an authorized administrator to set the inclusion or exclusion of audited events based on organizational policy and operating requirements/limits.,1
The system shall support audit capability.,"When access to a chart is restricted and the break the glass has occurred, the system shall provide the ability to audit this override.",1
The system shall support audit capability.,The system shall provide authorized administrators with the capability to read all audit information from the audit records in one of the following two ways:  1) The system shall provide the audit records in a manner suitable for the user to interpret the information.  The system shall provide the capability to generate reports based on ranges of system date and time that audit records were collected. .... 2) The system shall be able to export logs into text format in such a manner as to allow correlation based on time (e.g. UTC synchronization).,1
The system shall support audit capability.,The system shall audit the receipt of documents and capture and retain the author and source of the document.,1
The system shall support audit capability.,The system shall provide the ability to audit the date/time and user of each instance when a patient chart is printed by the system.,1
The system shall support audit capability.,"Security New  -- When interconnecting with other systems, the HIE shall support auditing and logging of activities that occur between the interconnected systems.",1
The system shall support audit capability.,The system shall provide the ability to log outgoing information exchange in an auditable form.,1
The system shall support audit capability.,"The system shall provide the ability to addend and/or correct notes that have been finalized, and shall retain all original documentation.  Nothing is deleted, and is all retained in audit trails and metadata.",1
The system shall support audit capability.,The HIE shall conduct regular system audits,1
The system shall support audit capability.,The HIE shall create an audit record of any password changes,1
The system shall support audit capability.,The system shall provide a traceable and auditable path for the clinical documentation associated and substantiating billing/claim information.,1
The system shall support audit capability.,"The system shall be able to generate a backup copy of the application data, security credentials, and log/audit files.",1
The system shall support audit capability.,The system shall provide drug-diagnosis interaction alerts at the time of medication prescribing/ordering.,0
The system shall support audit capability.,"The system shall provide the ability to filter, search or order notes by the provider who finalized the note.",0
The system shall support audit capability.,The system shall provide the ability for concurrent users to simultaneously view the same record.,0
The system shall support audit capability.,"The system shall provide the ability to create and display a summary list for each patient that includes, at a minimum, the active problem list, current medication list, medication allergies and adverse reactions",0
The system shall support audit capability.,The system shall provide the ability to print a problem/diagnosis list.,0
The system shall support audit capability.,"The system shall support medical record entries that are dated, the author identified and when necessary according to law or regulation or hospital policy, authenticated, either by written signature, electronic signature or computer key",0
The system shall support audit capability.,The system shall provide the ability to display patient specific dosing recommendations based on age and weight.,0
The system shall support audit capability.,"The system shall provide the ability to enter all current medications including over-the-counter and complementary medications such as vitamins, herbs and supplements.",0
The system shall support audit capability.,The system shall provide a means to order combination drugs or compounds (i.e. magic mouthwash).,0
The system shall support audit capability.,The system shall provide the ability to capture history collected from outside sources.,0
The system shall support audit capability.,The system shall provide end-users the ability to browse or search for medications by therapeutic class when ordering a medication.,0
The system shall support audit capability.,The system shall provide a means to document a patient's dispute with information currently in their chart.,0
The system shall support audit capability.,"The system shall provide the ability to access demographic information such as name, date of birth and gender needed for patient care functions.",0
The system shall support audit capability.,The system shall provide the ability to document verbal/telephone communication into the patient record.,0
The system shall support audit capability.,The system shall provide the ability to set or configure which fields are required for a complete order by order type.,0
The system shall support audit capability.,"The system provides the capability for timely notification to those ordering, dispensing, and/or administering medications of any manufacturer or FDA recall or discontinuance.",0
The system shall support audit capability.,The system shall provide the ability for the electronic medication administration record to be printed.,0
The system shall support audit capability.,"The system shall provide the ability to update the medication list with new medication orders, start date and time, end date and time or duration and pharmacy verification status.",0
The system shall support audit capability.,The system shall provide the ability to amend immunization administration documentation and include as part of the legal medical record.,0
The system shall support audit capability.,"The system shall provide the ability to store, display and print patient consent forms.",0
The system shall support audit capability.,"The system shall provide the ability to manage and display tasks (total, completed, remaining) required for disposition of each patient.",0
The system shall support audit capability.,"The system shall provide the ability to display medical eligibility obtained from patient's insurance carrier, populated either through data entry in the system itself or through an external application interoperating with the system.",0
The system shall support audit capability.,The system shall provide the ability to check contraindications based on lactation status,0
The system shall use patient lists allow a person to quickly locate patients without going through all the patients in the list.,The system shall be able to identify all patients on a specific medication.,1
The system shall use patient lists allow a person to quickly locate patients without going through all the patients in the list.,The system shall provide the ability to enter conditional orders that can be activated when certain criteria and conditions are met. .,0
"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert.","The system shall provide the ability to create a CV specific risk factor panel/display.  This should include, but is not limited to the following: diabetes, hyperlipidemia, hypertension, history of cardiovascular disease, family history, tobacco use.",1
"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert.",The system shall be capable of documenting current and past tobacco use in a quantitative fashion.,1
"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert.","The system shall be capable of documenting that tobacco cessation counseling was provided, including a date stamp.",1
"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert.",The system shall provide the ability to link procedure data with patient diagnosis.,0
"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert.","The system shall support protection of integrity of all Protected Health Information (PHI) delivered over the Internet or other known open networks via SHA1 hashing and an open protocol such as TLS, SSL, IPSec, XML digital signature, or S/MIME or their successors.",0
"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert.",The system shall provide the ability to respond to a request for a refill sent from a pharmacy,0
The system shall allow users to enter time in several different formats.,"The system shall have the ability to format for export recorded time stamps using UTC based on ISO 8601.? Example: 1994-11-05T08:15:30-05:00 corresponds to November 5, 1994, 8:15:30 am, US Eastern Standard Time.",1
The system shall allow users to enter time in several different formats.,"The system shall provide the ability to apply drug-drug, drug-allergy and drug-disease interaction checking in the same way to orders placed through an order set as to orders placed individually.",0
The system shall improve accessibility of online clinical information and results.,The system shall provide protectiog to maintain the integrity of clinical data during concurrent access.,1
The system shall improve accessibility of online clinical information and results.,The system shall provide the ability for a user to whom a result is presented to acknowledge the result.,1
The system shall improve accessibility of online clinical information and results.,The system shall provide the ability to access reference information for prescribing/ordering.,1
The system shall improve accessibility of online clinical information and results.,The system shall provide the ability to receive and store general laboratory results (includes ability to differentiate preliminary results and final results and the ability to process a corrected result),1
The system shall improve accessibility of online clinical information and results.,"The HIE shall support the ability of consumers to request and receive access and disclosure  reports which identify HIE users who have viewed , updated, or exchanged, or accessed their clinical data",1
The system shall improve accessibility of online clinical information and results.,The system shall not allow access to data or functions that exceed the HIE specified access for the user type or role,1
The system shall improve accessibility of online clinical information and results.,The system shall provide the ability to set elapsed time parameters by patient location for purposes of duplicate order checking.,0
The system shall improve accessibility of online clinical information and results.,The system shall provide the ability to display a summary screen (or screens) of CV-relevant patient information when a patient record is viewed.  The following constitutes a minimum list of the types of patient information that shall be available through the summary view: 1) Problem List 2) Medications 3) Allergies 4) Labs 5) Cardiovascular Tests and Procedures  (Diagnostic)  6) Cardiovascular Tests and Procedures (Therapeutic) 7) Implants/Devices,0
The system shall improve accessibility of online clinical information and results.,"The HIE shall have a mechanism to notify the source of the query that no match was found.     (See HITSP specifications IS 01, 02, and 03 for PIX and PDQ)",0
The system shall improve accessibility of online clinical information and results.,The system shall track all vital signs over time including those outside the norm.,0
The system shall improve accessibility of online clinical information and results.,The system shall provide the ability to respond to query to Identify patients eligible for a clinical trial,0
The system shall improve accessibility of online clinical information and results.,"The system shall provide the ability to transmit to Pharmacy the order override justification with the order and clinician, date, and time.",0
"The system shall allow event-delay capability for pre-admission, discharge, and transfer orders",The system shall provide a means to notify admitting office personnel that an ED patient requires hospital admission.,1
