id,text
1721,"The system shall require most orders or documents, such as progress notes, reports, or health summaries, to have an electronic signature."
1722,The system shall not release orders to services or activated until they are signed if they require a signature.
1723,The system shall not require a signature for an order if the order is designated as signed on chart or a generic order that does not require a signature.
1681,The system shall allow complete order sets to be predefined and personalized.
1724,The system shall implement a user class hierarchy to identify the roles that different users fulfill within the hospital.
1725,The system shall provide tools for creating business rules that apply to documents used by members of such groups.
1734,The system shall automatically considered any member of a given User Class to be a member of all superclasses of that class.
1735,The system shall automatically include membership in a given User Class to all member of subclasses of that class.
1736,The system shall design the Kernel Person Class File to accommodate the HCFA National Provider System Taxonomy of Professionals/Occupations.
1726,"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order)."
1727,"The system shall define, populate, and retrieve information about user classes."
1728,The system shall allow user classes to be defined hospital-wide or more narrowly for a specific service.
1729,The system shall allow user classes to be used across VistA to replace and/or complement security keys.
1730,The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure.
1731,The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles.
1732,The system shall impose no limitation on the depth or specificity of the User Class hierarchy which a site may choose to develop.
1733,The system shall allow concurrent membership in more than one User Class.
1737,"The document-handling system (TIU) shall include Consults/Request Tracking, Discharge Summary, and Progress Notes."
1738,The document-handling system (TIU) shall have boilerplate and cut and paste capabilities.
1739,The system shall allow other VistA applications to access the user class file to determine the role of an employee.
1740,"The system shall require provider, location, date and time encounter data to be entered for each visit (or telephone call) with a patient."
1741,"The system shall require service connection, provider name, location, date, diagnosis, procedure, and visit information to be entered in the enounter form to receive workload credit."
1742,The system shall timeout after a period of inactivity.
1743,The system shall ask the user if the user wants to continue using the system before timing out.
1744,The system shall require the entry of an access code and a verify code to gain access to the system.
1745,The system shall stored the names of users who view remote data in the remote site's database.
1746,"The system shall audit sensitive records, enabling a site to follow up on a record accessed by a remote location."
1747,The system shall provide a way to limit the users or sites that have access to remote retrievable data.
1748,The system shall allow users who hold any of the ORES/ORELSE/PROVIDER keys to be viewed as a clinical user and has full access privileges to all problem list options.
1749,"The system shall view users who hold the OREMAS key to be a clerical user, and, consequently, the verify, remove, restore, and view removed options will not be available."
1750,The system shall enforce these access levels when problems are entered via the encounter form. Problems entered on the encounter form by clerical personnel shall be left as UNVERIFIED.
1751,"The system shall require a unique match in the Medication, Dosage, Route, and Schedule fields for inpatient medications before CPRS will auto-select an item from the list. The system shall require the Medication and Schedule fields to be an item from the list for inpatient medications, but the Dosage and Route can be a free-text entry (the route must be in the MEDICATION ROUTES file #51.2)."
1682,The system shall allow order checking.
1683,"The system shall provide background checks on duplicate orders, drug-drug interactions, and many other criteria that a user can choose."
1752,The system shall allow users to enter time in several different formats.
1753,"The system shall require times to be entered as a 24-hour time, not with a 12-hour clock and an a.m. and p.m."
1754,The system shall require a user to review and sign changed if a user has just entered orders or documents that are unsigned.
1755,The system shall only auto-select(highlights in blue and places that entry in the field) a patient name if the user types enough characters to uniquely identify a name in the list.
1756,The system shall wait until the user explicitly selects an item using the mouse or the keyboard if the user does not enter enough characters to uniquely identify an item.
1757,The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers.
1758,"The system shall allow the user to group the patient list according to provider, team, specialty, clinic, or ward."
1759,"The system shall use a set of characters that include uppercase and lowercase Latin alphabetic characters (A-Z, a-z), numbers (0-9), and other special characters."
1760,The system shall display a message indicating the patient?s ability to pay for medical services must be evaluated.
1761,The system shall display a message that a patient has data from the legacy system used before the site was consolidated that is not being displayed which a user may want to access.
1762,The system shall indicate that the record is sensitive and may only be viewed by authorized users.
1763,The system shall display a message telling the user that the selected patient is deceased.
1764,The system shall display a message of possible matches if more than one match is found when a user partially enters a patient's name and last four digits of a social security number.
1765,"The system shall allow the creation of  patient lists or team lists that simplify tasks such as reviewing patient charts, ordering, and signing orders and notes and these  lists can be based on wards, clinics, teams, or other groups."
1766,The system shall use patient lists allow a person to quickly locate patients without going through all the patients in the list.
1767,The system shall allow clinicians to create patient lists for who can sign or cosign for each other.
1768,The system shall ensure that all team members receive necessary information about a patient by using patient lists to tie notifications to teams.
1769,The system shall allow notifications to be renewed if the user decides the alert should not go away when the user views it.
1778,"The system shall sort notifications based on column heading: Urgency (valued HIGH, Moderate, or low as indicated by the CPRS parameter ORB URGENCY. TIU alerts are given a Moderate urgency value. Other alerts without a parameter value are given an urgency of low.)"
1779,"The system shall sort notifications based on column heading: Alert Date/Time (date/time the alert was triggered, newest to oldest or oldest to newest)"
1780,"The system shall sort notifications based on column heading: Message (alert message or text, alphabetical or reverse alphabetical)"
1781,The system shall sort notifications based on column heading: Forwarded By/When (sorts alerts alphabetically and then by time for the same forwarding person)
1782,The system shall store which column the user sorted by when the user exits or changes patients and sorts by that column again when the Patient Selection/Notifications screen is next displayed.
1770,The system shall allow a user to foward notification to someone else at the site.
1771,The system shall allow users to disable unwanted notifications as desired.
1772,The system shall not allow mandatory notifications to be disabled.
1773,"The system shall retain notifications for a predetermined amount of time (up to 30 days), after which they may be sent to another destination, such as your MailMan surrogate or your supervisor."
1774,The system shall only display notifications for a user's patients or notifications that have been forwarded.
1775,The system shall sort notifications based on column heading: Info (information alerts are preceded with an ?I?)
1776,The system shall sort notifications based on column heading: Patient name (alphabetical or reverse alphabetical)
1777,"The system shall sort notifications based on column heading: Location (patient location, if known, alphabetical or reverse alphabetical)"
1684,"The system shall integrate orders with progress notes, results, procedures, diagnosis, and Problem List."
1783,The system shall update diagnostic and procedure codes used for billing purposes so codes are applicable at the time the service was provided.
1784,"The system shall check ICD and CPT code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option."
1785,The system shall indicate problems with inactive codes have the ?#? symbol in the status column.
1786,The system will abort when the user tries to login if tabs are not assigned to the user in their NEW PERSON file or if the RESTRICT PATIENT SELECTION prompt does not contain a Yes or No.
1787,"The system shall allow the CAC, or whoever is responsible for granting access to the CPRS GUI at each site, to assign the appropriate access each time a new user is added to the system, or if restricted access is needed for existing users."
1788,The system shall require the user to have acess to the Clinical Coorindator menu in the List Manager Interface to assign CPRS tab access.
1789,The system shall require an OEER List to be defined to contain the selected patients in order to grant restricted access to the CPRS GUI.
1685,The system shall mimic traditional order entry processes where necessary to accommodate established clinical practices.
1686,The system's design shall follow hospital work flow patterns and allow local site and individual customization to make it fit specific needs.
1687,"The system shall provide real-time order checking, as well as extended expert system/decision support capabilities that enhance the order entry process."
